ds,yhat,yhat_lower,yhat_upper
2012-07-27,20267.923300025006,10913.28916974784,28587.13283627696
2012-08-03,19452.177893264256,10596.898002839305,27839.66035534112
2012-08-10,19814.736508665817,10974.257301925956,28742.7757157562
2012-08-17,20522.204874238847,12283.815529882955,29387.092298765972
2012-08-24,20504.405442379444,12340.556909947085,29004.22235998406
2012-08-31,20142.792851032907,11701.20697685697,28454.296872664785
2012-09-07,20830.89566879892,12595.83832293484,29668.64743209259
2012-09-14,22852.492347327297,13899.803958957926,31306.803812367034
2012-09-21,24636.95817363344,16134.291317664822,33952.13735807073
2012-09-28,24751.2444720115,16060.984145328415,33526.76802108785
2012-10-05,26100.509287325673,18069.7950234541,34899.860822198236
2012-10-12,28227.06007882333,20177.211674218237,37121.64010885386
2012-10-19,33842.19722075923,25247.338038450514,42628.672294064236
2012-10-26,39583.45110943298,31296.40277079026,48425.95339578763
